City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Atuona,PF,2021-02-05 17:36:46,-9.8,-139.0333,79.21,81,55,17.49
68,Upernavik,GL,2021-02-05 17:36:46,72.7868,-56.1549,4.26,74,99,2.82
69,Vaini,TO,2021-02-05 17:36:46,-21.2,-175.2,77.0,100,40,2.3
70,Ponta Do Sol,PT,2021-02-05 17:36:46,32.6667,-17.1,55.99,59,54,7.0
71,Djougou,BJ,2021-02-05 17:36:46,9.7085,1.666,95.0,9,0,6.91
72,Kununurra,AU,2021-02-05 17:36:47,-15.7667,128.7333,77.0,100,100,13.98
73,Manokwari,ID,2021-02-05 17:36:47,-0.8667,134.0833,77.68,78,100,5.82
74,Cidreira,BR,2021-02-05 17:36:47,-30.1811,-50.2056,75.22,59,72,18.59
75,Bambous Virieux,MU,2021-02-05 17:36:47,-20.3428,57.7575,80.6,78,40,8.05
76,Narsaq,GL,2021-02-05 17:33:03,60.9167,-46.05,21.2,30,1,3.44
77,Seoul,KR,2021-02-05 17:35:03,37.5683,126.9778,37.4,70,75,2.3
78,Tiksi,RU,2021-02-05 17:36:47,71.6872,128.8694,-18.89,88,100,14.41
79,Karanpura,IN,2021-02-05 17:36:47,29.1018,75.092,58.26,45,0,5.77
80,Provideniya,RU,2021-02-05 17:36:47,64.3833,-173.3,6.15,90,100,18.9
81,Talnakh,RU,2021-02-05 17:36:48,69.4865,88.3972,-25.83,84,99,4.94
82,Fuyu,CN,2021-02-05 17:36:48,45.1833,124.8167,7.97,92,98,3.96
83,Turbiv,UA,2021-02-05 17:36:48,49.3479,28.7212,23.0,74,75,8.95
84,Morococha,PE,2021-02-05 17:36:48,-11.5997,-76.1411,47.39,64,100,4.61
85,Hasaki,JP,2021-02-05 17:36:48,35.7333,140.8333,41.0,81,75,2.3
86,Sorong,ID,2021-02-05 17:32:23,-0.8833,131.25,81.23,76,100,2.68
87,Necochea,AR,2021-02-05 17:36:48,-38.5473,-58.7368,90.0,29,0,1.99
88,Bahir Dar,ET,2021-02-05 17:36:48,11.5936,37.3908,66.79,34,5,8.77
89,Port Elizabeth,ZA,2021-02-05 17:36:48,-33.918,25.5701,71.6,83,75,12.66
90,Sangar,RU,2021-02-05 17:36:49,63.9242,127.4739,-43.08,79,99,2.15
91,Chuy,UY,2021-02-05 17:32:41,-33.6971,-53.4616,70.66,61,69,13.27
92,Bathsheba,BB,2021-02-05 17:36:49,13.2167,-59.5167,82.4,57,75,23.02
93,East London,ZA,2021-02-05 17:36:49,-33.0153,27.9116,69.8,100,75,10.36
94,Jalu,LY,2021-02-05 17:32:23,29.0331,21.5482,59.77,49,0,6.96
95,Kapaa,US,2021-02-05 17:32:06,22.0752,-159.319,63.0,77,75,5.75
96,Lugo,ES,2021-02-05 17:32:39,43.0,-7.5,48.99,84,100,7.0
97,Arraial Do Cabo,BR,2021-02-05 17:36:49,-22.9661,-42.0278,82.4,78,75,12.66
98,Husavik,IS,2021-02-05 17:32:32,66.0449,-17.3389,24.8,74,0,3.44
99,Nanortalik,GL,2021-02-05 17:36:50,60.1432,-45.2371,21.97,77,0,1.52
100,Babu,CN,2021-02-05 17:36:50,24.4167,111.5167,60.98,61,29,3.91
101,Seddon,AU,2021-02-05 17:36:50,-37.8068,144.8916,62.6,67,3,5.75
102,Holeby,DK,2021-02-05 17:36:50,54.7115,11.4642,32.0,78,100,10.0
103,Busselton,AU,2021-02-05 17:36:50,-33.65,115.3333,61.0,70,96,1.01
104,Sur,OM,2021-02-05 17:36:50,22.5667,59.5289,65.08,66,0,2.75
105,Mahebourg,MU,2021-02-05 17:36:50,-20.4081,57.7,80.6,78,40,8.05
106,Barrow,US,2021-02-05 17:36:50,71.2906,-156.7887,-16.6,69,90,12.66
