City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Mitsamiouli,KM,83.46,overcast clouds,-11.3847,43.2844,Foyer ADM
421,Moindou,NC,71.6,broken clouds,-21.6924,165.67700000000002,Gite de la RYAWA
425,Luwuk,ID,77.77,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
426,Bouillante,GP,82.4,broken clouds,16.1304,-61.7692,Gîtes Dardanelle
428,Limbang,MY,80.6,broken clouds,4.75,115.0,Purnama Hotel
429,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
434,Nouadhibou,MR,71.6,sand,20.930999999999997,-17.0347,El Medina
437,Marang,MY,78.8,scattered clouds,5.2056,103.2059,DBarakah Homestay
438,Barranca,PE,75.45,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
441,Singleton,AU,70.0,few clouds,-32.5667,151.1833,Quest Singleton
442,Auki,SB,78.71,light rain,-8.7676,160.7034,Auki Motel
443,Biak,ID,76.87,light rain,-0.9131,122.8766,Penginapan Kim
444,Paragominas,BR,90.77,overcast clouds,-2.9667,-47.4833,.
446,Buala,SB,80.28,light rain,-8.145,159.5921,Maringe Lagoon Lodge
456,La Asuncion,VE,79.34,broken clouds,11.0333,-63.8628,Colinas de Matasiete
457,Pereira Barreto,BR,82.71,clear sky,-20.6383,-51.1092,Hotel Pousada Pantal
458,Gusau,NG,92.21,scattered clouds,12.1628,6.6614,Dr. Salisu Ibrahim
462,Buta,CD,88.48,few clouds,2.7858,24.73,HOTEL BISO NA BISO
463,Kavaratti,IN,81.0,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
465,Sabang,ID,81.86,heavy intensity rain,5.8933,95.3214,Hotel Citra
471,Sassandra,CI,84.0,light rain,4.95,-6.0833,la terrasse
476,Bac Lieu,VN,75.99,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
477,Banda Aceh,ID,78.94,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
479,San Luis,AR,86.09,clear sky,-33.295,-66.3356,Huarpes Hotel
480,Porto Velho,BR,80.6,broken clouds,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
481,Cayenne,GF,78.8,mist,4.9333,-52.3333,Hôtel Le Dronmi
483,Rio Claro,BR,87.01,scattered clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
485,Dingle,PH,75.36,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
494,Acarau,BR,88.02,broken clouds,-2.8856,-40.12,castelo pizzaria
498,Kavieng,PG,81.86,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
499,Lima,PE,77.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
502,Natal,BR,87.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
503,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
507,Noumea,NC,78.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
511,Sao Filipe,CV,71.1,clear sky,14.8961,-24.4956,Tortuga B&B
513,Owando,CG,90.55,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
523,Masumbwe,TZ,71.24,overcast clouds,-3.6333,32.1833,Ngabanya Logde & Filling Station
526,Barra Do Garcas,BR,85.98,scattered clouds,-15.89,-52.2567,Hotel Pousada Tropical
527,Port Blair,IN,79.14,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
528,Bubaque,GW,79.92,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
530,Lubango,AO,71.6,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
534,Mahanoro,MG,81.21,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
539,Bartica,GY,86.0,scattered clouds,6.4,-58.6167,Relax Inn Hotel
540,Kupang,ID,79.63,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
543,Souillac,MU,80.6,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
544,Alugan,PH,79.48,broken clouds,12.2188,125.4808,JM Lodge
545,Inhambane,MZ,87.8,scattered clouds,-23.865,35.3833,Oceano
548,Kudahuvadhoo,MV,81.82,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
549,Pindiga,NG,91.4,broken clouds,9.9833,10.9333,Accommodation Center
552,Poum,NC,79.84,few clouds,-20.2333,164.0167,Gîte kajeon
554,Palmerston,AU,82.4,scattered clouds,-12.485999999999999,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
555,Popondetta,PG,74.86,overcast clouds,-8.7537,148.2534,Timos Transit House
556,Mareeba,AU,78.8,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
559,Le Port,RE,80.6,light rain,-20.9373,55.2919,Villa Maido
563,Port Macquarie,AU,70.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
567,Awbari,LY,78.03,broken clouds,26.5921,12.7805,فندق أوباري
570,El Jicaro,GT,84.2,clear sky,14.9167,-89.9,Auto Hotel Refugio de Don Pepe
572,Luangwa,ZM,81.46,light rain,-15.6167,30.4167,Gerasimos Safari Lodge
574,Dhidhdhoo,MV,82.17,broken clouds,6.8833,73.1,Dhidhoo beach
575,Dawei,MM,71.44,clear sky,14.0833,98.2,Hotel Dawei
577,Onverwacht,SR,84.2,scattered clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
578,Moyale,KE,81.79,clear sky,3.5167,39.0584,La Tahzan Guest House
579,Hervey Bay,AU,77.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
583,Japura,ID,75.61,broken clouds,-0.3167,102.35,Rumah mbah Jamah
585,Acapulco,MX,80.6,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
587,Amambai,BR,76.46,clear sky,-23.1042,-55.2258,Keren Hotel
595,Necochea,AR,72.0,clear sky,-38.5473,-58.7368,dyd -mar Hotel
597,Carmen,MX,73.4,clear sky,18.6333,-91.8333,Hotel Lossandes
598,Teluk Nibung,ID,77.49,broken clouds,3.0010000000000003,99.8164,Hotel Assyifa
603,Yanam,IN,77.0,scattered clouds,16.7333,82.2167,The Regency Hotel
606,Puerto Cabezas,NI,82.4,broken clouds,14.0351,-83.3888,Hotel Caribe
607,Acari,PE,81.77,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
610,Esna,EG,75.2,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
611,Antalaha,MG,78.93,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
612,Gilbues,BR,75.87,overcast clouds,-9.8317,-45.3439,Hotel Camapuã
613,Ishigaki,JP,70.45,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
616,Tamiahua,MX,73.42,clear sky,21.2667,-97.45,Mission Of The Sun Hotel
617,Minbu,MM,72.57,scattered clouds,20.1833,94.8833,Kaung Thar Guest House - Burmese Only
619,Pouembout,NC,74.25,few clouds,-21.1333,164.9,Camping de Tipenga
622,Basoko,CD,87.53,few clouds,1.2391,23.616,Flat Hotel La Benediction
626,Morondava,MG,84.04,overcast clouds,-20.2833,44.2833,La Case Bambou
630,Kaabong,UG,78.85,scattered clouds,3.4836,34.1492,Rock Motel Ltd
631,Sokoni,TZ,86.0,few clouds,-6.4333,39.55,Ujamaa Beach Resort
634,Tarauaca,BR,89.78,overcast clouds,-8.1614,-70.7656,Flat Temporada
635,Grand Gaube,MU,80.01,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
637,Yenagoa,NG,94.57,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
642,Pontianak,ID,78.8,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
644,Mae Hong Son,TH,71.33,few clouds,19.3003,97.9685,Baiyoke Chalet Hotel
647,Dogondoutchi,NE,93.92,broken clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
652,Vila Do Maio,CV,73.4,broken clouds,15.1333,-23.2167,Residence 'I Delfini'
653,Mana,GF,80.22,broken clouds,5.6592,-53.7767,LE SAMANA
656,Saurimo,AO,71.46,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
661,Phalaborwa,ZA,78.8,overcast clouds,-23.943,31.1411,Amarula Guest House
662,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
